    0.195611608028411865E+04   -0.238495802879333496E+01   -0.489603567123413086E+01   -0.797494769096374512E+01   -0.667634367942810059E+01   -0.431133651733398438E+02    0.148643642663955688E+01   -0.513993089408100769E+07   -0.621460743175560815E+01    1
    0.168735600709915161E+04   -0.207860898971557617E+01   -0.435143995285034180E+01   -0.531637287139892578E+01   -0.926907992362976074E+01   -0.360982930660247803E+02    0.148730355501174927E+01   -0.504596953258163482E+07   -0.621660743175561681E+01    1
    0.198109129667282104E+04   -0.930443358421325684E+01   -0.317017650604248047E+01   -0.258926796913146973E+01   -0.458219146728515625E+01   -0.309914159774780273E+02    0.149814075231552124E+01   -0.495548047999049909E+07   -0.621860743175561392E+01    1
    0.124414982199668884E+04   -0.288429594039916992E+01   -0.966392827033996582E+01   -0.908357262611389160E+01   -0.861624455451965332E+01   -0.382999372482299805E+02    0.149769741296768188E+01   -0.493459127136820089E+07   -0.622060743175561814E+01    1
    0.550086730718612671E+03   -0.657150292396545410E+01   -0.109003214836120605E+02   -0.598426723480224609E+01   -0.337654995918273926E+01   -0.255082786083221436E+02    0.149477714300155640E+01   -0.492148832119154837E+07   -0.622260743175562414E+01    1
    0.134865776300430298E+04   -0.102178959846496582E+02   -0.115432155132293701E+02   -0.110645842552185059E+02   -0.146027398109436035E+01   -0.443858575820922852E+02    0.148677718639373779E+01   -0.484958282904957421E+07   -0.622460743175562925E+01    1
    0.186211434602737427E+04   -0.359494543075561523E+01   -0.105922014713287354E+02   -0.461733984947204590E+01   -0.686235666275024414E+01   -0.425860726833343506E+02    0.148580139875411987E+01   -0.481015974925422668E+07   -0.622660743175562548E+01    1
    0.191676641702651978E+04   -0.223392176628112793E+01   -0.892344188690185547E+01   -0.351900458335876465E+01   -0.276124334335327148E+01   -0.317058622837066650E+02    0.146850264072418213E+01   -0.471009283640528284E+07   -0.622860743175562526E+01    1
    0.161981259584426880E+04   -0.815434455871582031E+01   -0.606801223754882812E+01   -0.107518122196197510E+02   -0.667178678512573242E+01   -0.344899749755859375E+02    0.149967586994171143E+01   -0.466585542608561181E+07   -0.623060743175562948E+01    1
    0.665122395753860474E+03   -0.111163358688354492E+02   -0.111289279460906982E+02   -0.973670482635498047E+01   -0.146764111518859863E+01   -0.325804567337036133E+02    0.148939520120620728E+01   -0.461137275626886263E+07   -0.623260743175562393E+01    1
    0.129720236659049988E+04   -0.473357748985290527E+01   -0.758076739311218262E+01   -0.315609169006347656E+01   -0.234979033470153809E+01   -0.280866682529449463E+02    0.147309803962707520E+01   -0.460333540674112923E+07   -0.623460743175563081E+01    1
    0.224756151437759399E+03   -0.801022052764892578E+01   -0.442184543609619141E+01   -0.100469105243682861E+02   -0.988909363746643066E+01   -0.367296457290649414E+02    0.149159473180770874E+01   -0.443917335003481340E+07   -0.623660743175562082E+01    1
