    0.154805055856704712E+04    0.150589227676391602E+00   -0.480755978822708263E+00    0.524476444721221924E+01    0.583839088678359985E+00   -0.539446315169334412E+01   -0.130000303387641907E+02    0.149057185649871826E+01   -0.182406415582529694E+09   -0.621460743175560815E+01    1
    0.153847031593322754E+04   -0.283371031284332275E+00    0.173844081163406106E+00    0.617430830001831055E+01    0.135839480161666870E+01   -0.428474834561347961E+01   -0.657670509815216064E+01    0.149228155612945557E+01   -0.178121080562237859E+09   -0.621660743175561681E+01    1
    0.130359160900115967E+04    0.248565214872360229E+01   -0.144827187061310036E+00    0.106320910453796387E+02    0.420342028141021729E+01    0.886743307113647461E+00   -0.103359379172325134E+02    0.149913263320922852E+01   -0.175588186305506229E+09   -0.621860743175561392E+01    1
    0.160499753952026367E+04    0.298696267604827881E+01   -0.695400094985962003E+00    0.517621505260467529E+01    0.471258810162544250E+01   -0.732531309127807617E+00   -0.202641808986663818E+01    0.149860000610351562E+01   -0.172697275534718454E+09   -0.622060743175561814E+01    1
    0.936692190170288086E+03   -0.107386660575866699E+01   -0.110053240060806279E+01    0.962020123004913330E+01    0.539606899023056030E+00    0.997103691101074219E+00   -0.441907769441604614E+01    0.148518019914627075E+01   -0.171404275488673031E+09   -0.622260743175562414E+01    1
    0.582095456123352051E+03    0.192207574844360352E+00   -0.914411962032319892E-01    0.756374371051788330E+01    0.340809059143066406E+01   -0.337550094723701477E+01   -0.449756562709808350E+01    0.148532932996749878E+01   -0.167192870614154279E+09   -0.622460743175562925E+01    1
    0.103861716985702515E+04   -0.192885500192642212E+01   -0.310823988914489924E+00    0.960953569412231445E+01    0.325726526975631714E+01    0.246707439422607422E+00   -0.418391764163970947E+01    0.148544198274612427E+01   -0.165770128429395616E+09   -0.622660743175562548E+01    1
    0.138694481849670410E+04    0.197805643081665039E+00   -0.192245479226112370E+01    0.932627475261688232E+01    0.164618432521820068E+01   -0.515951102972030640E+01   -0.119670290946960449E+02    0.147050374746322632E+01   -0.163556390332630455E+09   -0.622860743175562526E+01    1
    0.576795852184295654E+03    0.194642293453216553E+01   -0.884590309858322321E+00    0.514975953102111816E+01    0.468343883752822876E+01   -0.379478564858436584E+01   -0.794652575254440308E+01    0.148203200101852417E+01   -0.159913772440593481E+09   -0.623060743175562948E+01    1
    0.427065622806549072E+03    0.217779743671417236E+01   -0.782539868354797497E+00    0.104317754507064819E+02    0.310071972012519836E+01    0.199028044939041138E+00   -0.778391355276107788E+01    0.148317527770996094E+01   -0.159237092804388881E+09   -0.623260743175562393E+01    1
