    0.174177119731903076E+04   -0.957375168800354004E-01   -0.171309423446655273E+01   -0.136353385448455811E+01   -0.989386129379272505E+00    0.863295447826385498E+01    0.139323675632476807E+01   -0.178268095850944519E+01   -0.610176944732666016E+01   -0.905681485950681730E+06   -0.621460743175560815E+01    1
    0.917040038108825684E+03   -0.165853321552276611E+01    0.125024771690368652E+01    0.299129116535186768E+01   -0.139835354685783386E+01    0.808131349086761475E+01    0.703959614038467407E+00   -0.532082042098045349E+01   -0.447617816925048828E+01   -0.609164310166018899E+06   -0.621660743175561681E+01    1
    0.145175905227661133E+04   -0.367426335811614990E+00   -0.158964061737060547E+01   -0.167329561710357666E+01   -0.392965298891067683E+00    0.575446927547454834E+01    0.764571934938430786E+00   -0.397241851687431335E+01   -0.868750095367431641E+01   -0.206047512932025973E+06   -0.621860743175561392E+01    1
    0.168889882564544678E+04   -0.256958878040313721E+01    0.159537649154663086E+01    0.194487857818603516E+01   -0.997772103548050016E+00    0.105086046457290649E+02    0.138537025451660156E+01   -0.128204888105392456E+01   -0.540869045257568359E+01   -0.187100182601983252E+06   -0.622060743175561814E+01    1
    0.174089242219924927E+04   -0.252668702602386475E+01    0.129803037643432617E+01    0.116220760345458984E+01   -0.153503076434135433E+01    0.697240746021270752E+01    0.506417346000671387E+01   -0.538266232609748840E+01   -0.858399200439453125E+01   -0.135720826581924135E+06   -0.622260743175562414E+01    1
    0.157035881280899048E+04   -0.136683207750320435E+01   -0.173440432548522949E+01   -0.181610864400863647E+01   -0.147020195126533526E+01    0.879203879833221436E+01    0.168463203310966492E+01   -0.536928167939186096E+01   -0.617682218551635742E+01   -0.130424783256977520E+06   -0.622460743175562925E+01    1
    0.140307085514068604E+04   -0.461818814277648926E+00   -0.165320348739624023E+01   -0.147770178318023682E+01   -0.749720358848571911E+00    0.104201182126998901E+02    0.518739324808120728E+01    0.177164465188980103E+00   -0.475864028930664062E+01   -0.118468673744269807E+06   -0.622660743175562548E+01    1
    0.135292685031890869E+04   -0.260316789150238037E+01    0.197538018226623535E+01    0.228930014371871948E+01   -0.287624406814575240E+00    0.940616953372955322E+01    0.565011739730834961E+00   -0.450735247135162354E+01   -0.709804248809814453E+01   -0.103476751229507485E+06   -0.622860743175562526E+01    1
    0.144260538816452026E+04   -0.230593568086624146E+01    0.196998882293701172E+01    0.158421802520751953E+01   -0.986666661500930964E+00    0.660181057453155518E+01    0.464212429523468018E+01   -0.554255998134613037E+01   -0.219288825988769531E+01   -0.805103554231043090E+05   -0.623060743175562948E+01    1
    0.145062050819396973E+04   -0.215207952260971069E+01    0.172873306274414062E+01    0.153441596031188965E+01   -0.137922569513320914E+01    0.104368101358413696E+02    0.381978014111518860E+01   -0.273437029123306274E+01   -0.896318674087524414E+01   -0.692069397870414687E+05   -0.623260743175562393E+01    1
    0.152449002265930176E+04   -0.136256414651870728E+01   -0.195967888832092285E+01   -0.943437635898590088E+00   -0.253404104709625377E+00    0.725662648677825928E+01    0.250027903914451599E+01   -0.331473371386528015E+01   -0.331666755676269531E+01   -0.478124678285885821E+05   -0.623460743175563081E+01    1
